uid,datetime,city,state,country,shape,durationSeconds,durationHours/min,comments,date posted,latitude,longitude,Admin level 2,Admin level 1,parsedCountry
UFO154,10/10/2004 23:30,gleason,wi,us,sphere,3000,45-50 mins,It was about 9:30PM my friend and I were going to go out deer shining with my step dads truck and my friends spotlight. We left his hou,9/2/2005,45.3088889,-89.4963889,Lincoln County,Wisconsin,United States of America
UFO155,10/10/2005 7:40,seattle,wa,us,other,60,one + minutes,round symetrical with roundish flat bottom shiny white colored low flying bigger than  a plane.,10/11/2005,47.6063889,-122.3308333,King County,Washington,United States of America
UFO156,10/10/2005 9:00,apache junction,az,us,other,30,30 seconds,half-moon shaped objects that just winked out,10/11/2005,33.415,-111.5488889,Pinal County,Arizona,United States of America
UFO157,10/10/2005 9:30,north miami beach,fl,us,oval,1800,30 minutes,i sent you an e-mail 2 days ago and really want to be contacted&#44 PLEASE  contact me asap&#44 I&#39m not crazy and nether is my wife&#44 please c,10/20/2005,25.9327778,-80.1627778,Miami-Dade County,Florida,United States of America
UFO158,10/10/2005 11:30,edgewater,fl,us,,0,300,orange ball in sky video taped over edgewater florida,10/11/2005,28.9886111,-80.9025,Volusia County,Florida,United States of America
UFO159,20/08/2005 14:45,los angeles,ca,us,egg,10,10 seconds,Egg UFO over Hollywood Hills and LAX in LOS ANGELES&#44 CA.,10/20/2005,34.0522222,-118.2427778,Los Angeles County,California,United States of America
UFO160,10/9/2005 20:00,loretto,pa,us,triangle,300,5 minutes,Dull red flash&#44 Triangular ship&#44 Vocal Noises,10/30/2006,40.5030556,-78.6305556,Cambria County,Pennsylvania,United States of America
UFO161,10/10/2005 20:00,newtown (uk/wales),,gb,formation,360,5/6 minutes,red/orang lights dancing in the sky.,5/15/2006,52.516667,-3.3,Powys,Wales,United Kingdom
UFO162,10/10/2005 21:00,lewisburg,tn,us,unknown,240,4 minutes,Like a grouping of balloons with a slight glow to them,12/7/2006,35.4491667,-86.7888889,Marshall County,Tennessee,United States of America
UFO163,10/10/2005 21:30,north miami beach,fl,us,other,3600,60 min,a manta ray shaped object with orange and yellow lights flashing in,10/11/2005,25.9327778,-80.1627778,Miami-Dade County,Florida,United States of America
UFO164,10/10/2005 22:08,east wenatchee,wa,us,light,1200,20 min,Strange light over East Wenatchee Washington,10/20/2005,47.4158333,-120.2919444,Douglas County,Washington,United States of America
UFO165,10/10/2005 23:00,hendersonville,nc,us,light,600,10 minutes,Last night&#44 October 10&#44 at about 11:00PM for about ten minutes I observed a peculiar point source light in the Eastern sky. It was at a,10/11/2005,35.3186111,-82.4611111,Henderson County,North Carolina,United States of America
UFO166,10/10/2005 23:07,brainerd,mn,us,disk,300,5 min.,A big lighted up silver saucer.,10/30/2006,46.3580556,-94.2005556,Crow Wing County,Minnesota,United States of America
UFO167,38636,franklin,in,us,disk,0,?,two yellow objects sitting over the corn field in Franklin&#44 Indiana,10/20/2005,39.4805556,-86.055,Johnson County,Indiana,United States of America
UFO168,10/10/2006 1:00,pennington,tx,us,diamond,3600,one hour,IN form of diamond with multi colored lights that acted like disco light except one.  theone light was like a brite star and would resp,2/1/2007,31.1911111,-95.2352778,Trinity County,Texas,United States of America
UFO169,10/10/2006 5:00,san francisco,ca,us,triangle,600,10 minutes,black triangles were seen flying across the surface of the full moon,10/30/2006,37.775,-122.4183333,San Francisco County,California,United States of America
UFO170,10/10/2006 12:37,blairsville,ga,us,unknown,10,<10 sec.,Intermittant streak by moon&#44 not seen on photo taken 10 seconds earlier.,10/30/2006,34.8761111,-83.9583333,Union County,Georgia,United States of America
UFO171,10/10/2006 16:00,savannah,tn,us,light,600,10 minutes,weird light that moved in the sky,10/30/2006,35.2247222,-88.2491667,Hardin County,Tennessee,United States of America
UFO172,10/10/2006 16:00,waynesboro,va,us,triangle,600,8-10 minutes,Large...beautiful...and brighter than anything I&#39ve ever seen....How small I have felt since....,10/30/2006,38.0683333,-78.8897222,,Virginia,United States of America
UFO173,10/10/2006 19:00,unsure,ar,,fireball,2,a few seconds,Extreme sound with trails and orange red blue hues to it.  The trails were bright bright white.,12/7/2006,35.20105,-91.831833,White County,Arkansas,United States of America
UFO174,10/10/2006 20:00,bray,ok,us,other,360,6 mins,Glowing V Shaped Object flying Low making no sound.,12/12/2009,34.6377778,-97.8172222,Stephens County,Oklahoma,United States of America
UFO175,10/10/2006 21:47,plymouth (devonshire) (uk/england),,gb,formation,120,1-2 mins,they were right above me very small almost like minni stars and they were circling round sommothing and came closer and further away an,10/30/2006,50.396389,-4.138611,Plymouth,England,United Kingdom
UFO176,10/10/2006 22:40,waycross,ga,us,light,120,2 minutes,Redish orange light viewed from Waycross &#44Ga. Moving Northwest and suddenly just goes out.,10/30/2006,31.2133333,-82.3541667,Ware County,Georgia,United States of America
UFO177,10/10/2006 22:50,wolfforth,tx,us,disk,300,5 min,Huge aircraft with diagnally aligned white lights moving slowly and loudly through the night.,10/30/2006,33.5058333,-102.0086111,Lubbock County,Texas,United States of America
UFO178,10/10/2006 23:00,lyndhurst,oh,us,unknown,300,5 minutes,This is a follow up to my Feb. 16th&#44 1995 report.  This past Tuesday&#44 my wife and I AGAIN heard the same loud&#44 rumbling roar that we he,10/30/2006,41.52,-81.4888889,Cuyahoga County,Ohio,United States of America
UFO179,10/10/2006 23:55,knik,ak,us,triangle,0,5,Slow moving&#44 no sound&#44  illuminated (craft) triangle over Point McKenzie&#44 Alaska.,10/30/2006,61.4577778,-149.7288889,Matanuska-Susitna,Alaska,United States of America
UFO180,10/10/2007 1:00,lebanon,or,us,light,14400,4 hours,Small Orange-White &quot;star&quot; that moves around in circles&#44 up&#44 down&#44 and sideways fast in the night sky,11/28/2007,44.5366667,-122.9058333,Linn County,Oregon,United States of America
UFO181,10/10/2007 1:00,stockbridge,ga,us,changing,3600,1 hour,i was abducted,11/28/2007,33.5441667,-84.2338889,Henry County,Georgia,United States of America
UFO182,10/10/2007 4:00,denver,co,us,changing,2700,45 minutes+,Huge lighted cluster in the eastern sky.  ((NUFORC Note:  Sighting of Venus.  PD)),11/28/2007,39.7391667,-104.9841667,Denver County,Colorado,United States of America
UFO183,10/10/2007 4:30,jacksonville,fl,us,sphere,30,30 seconds,half mile from de saint Jhons River&#44 low flying sphere&#44   at slow speed without noise,3/4/2008,30.3319444,-81.6558333,Duval County,Florida,United States of America
UFO184,10/10/2007 5:00,bakersfield,ca,us,circle,0,had a call of a reporting,UFO sighting in Bakersfield,11/28/2007,35.3733333,-119.0177778,Kern County,California,United States of America
UFO185,10/10/2007 6:00,indio,ca,us,oval,600,10 min.,Observed 2 white clouds of identical shape in clear blue shy with object becoming visible beneath one cloud.,6/9/2009,33.7205556,-116.2147222,Riverside County,California,United States of America
UFO186,10/10/2007 13:00,owego,ny,us,triangle,10800,3 hours,triangle with 3 llights blinking. 500 Lights On Object0: Yes,11/28/2007,42.1033333,-76.2625,Tioga County,New York,United States of America
UFO187,10/10/2007 18:33,downingtown,pa,us,circle,120,1 to 1 1/2 minutes,Star-like (but MUCH BRIGHTER AND LARGER) light west of D-town&#44 PA.  Seen against sunset.  ((NUFORC Note:  Contrail??  PD)),11/28/2007,40.0063889,-75.7036111,Chester County,Pennsylvania,United States of America
UFO188,10/10/2007 19:00,austin,tx,us,flash,3,3 seconds,pulsing flash recurring at 2 second intervals 3 times along the same trajectory along 90 degrees of sky,11/28/2007,30.2669444,-97.7427778,Travis County,Texas,United States of America
UFO189,10/10/2007 20:10,starrsville (covington),ga,us,sphere,60,appx. 1 minute,MUFON GEORGIA FOLLOW-UP REPORT:  Joint NUFORC-MUFON of Georgia Investigation-Fiery Sphere Shaped Object,6/12/2008,33.5394444,-83.8194444,Newton County,Georgia,United States of America
UFO190,10/10/2007 20:24,west palm beach florida,fl,,fireball,180,approx 3 mins,Burning ball across the sky over central/south florida. Strobing effect towards end of the final view of object.,11/28/2007,26.705621,-80.03643,Palm Beach County,Florida,United States of America
UFO191,10/10/2007 20:30,conyers,ga,us,unknown,3600,1 hour,Craft seen falling and dissapears into thin air.  ((NUFORC Note:  Missile launch??  We have no explanation for the aircraft.  PD)),11/28/2007,33.6675,-84.0177778,Rockdale County,Georgia,United States of America
UFO192,10/10/2007 20:55,vero beach,fl,us,unknown,30,30 seconds,Shooting star without red globe burn-out or descent maintains steady Southerly trajectory.  ((NUFORC Note:  Missile launch??  PD)),11/28/2007,27.6383333,-80.3975,Indian River County,Florida,United States of America
UFO193,10/10/2007 21:00,jensen beach,fl,us,oval,120,2 mins,A oval shaped object hovered and shot through the sky with very bright lights and then vanished. 500 Lights On Object0: Yes,11/28/2007,27.2541667,-80.23,Martin County,Florida,United States of America
UFO194,10/10/2007 21:43,houston,tx,us,formation,35,35 seconds,Large Boomerang formation of lights over Houston&#44 Beltway 8 &amp; Westheimer moving north to south 10/10/07&#44 9:43 PM.,11/28/2007,29.7630556,-95.3630556,Harris County,Texas,United States of America
UFO195,10/10/2007 22:00,duluth,mn,us,light,600,10 minutes,Bright pulsating light over lake superior.,1/21/2008,46.7833333,-92.1063889,St. Louis County,Minnesota,United States of America
UFO196,10/10/2007 22:00,fleming,co,us,circle,600,10 minutes,UFO SPOTTED&#44 FLEMING COLORADO,11/28/2007,40.68,-102.8388889,Logan County,Colorado,United States of America
UFO197,10/10/2007 22:00,grove city,pa,us,unknown,3600,1:00:00,Light pattern moving silently through rapid maneuvers over Grove City,1/21/2008,41.1577778,-80.0888889,Mercer County,Pennsylvania,United States of America
