uid,datetime,city,state,country,shape,durationSeconds,durationHours/min,comments,date posted,latitude,longitude,Admin level 2,Admin level 1,parsedCountry
UFO062,10/10/1994 15:00,mercedies,tx,,cigar,3600,1 hour,ufo chased by fighter jet over Rio Grande Valley. Seen on news,12/12/2011,26.149798,-97.913611,Hidalgo County,Texas,United States of America
UFO063,10/10/1994 18:30,burnt hills,ny,us,rectangle,120,2 minutes,Giant rectangular craft (resembling an upside-down aircraft carrier) over highway near Saratoga&#44 NY.,10/23/2013,42.9097222,-73.8955556,Saratoga County,New York,United States of America
UFO064,10/10/1994 22:00,pinebergen,ar,us,light,5,5 seconds,Round&#44 bright&#44 low flying object silently speeds West of Arkansas town at 11:30pm&#44 10/10/94.,2/18/2001,34.1027778,-91.9922222,Jefferson County,Arkansas,United States of America
UFO065,10/10/1994 23:00,toronto (greater toronto area) (canada),on,ca,sphere,3600,~1 hour,Large rusty sphere,7/3/2013,43.666667,-79.416667,Toronto Division,Ontario,Canada
UFO066,10/10/1995 17:05,puerto rico (puerto rico),pr,,,0,,Woman calls regarding fiance who is having peculiar &quot;flash back&quot; recall of alien type creatures.  Directed to investigator.,11/2/1999,18.220833,-66.590149,Jayuya,Jayuya,Puerto Rico
UFO067,10/10/1995 19:45,milwaukee,wi,us,,120,2 min.,Man  on Hwy 43 SW of Milwaukee sees large&#44 bright blue light streak by his car&#44 descend&#44 turn&#44 cross road ahead&#44 strobe. Bizarre&#33,11/2/1999,43.0388889,-87.9063889,Milwaukee County,Wisconsin,United States of America
UFO068,10/10/1995 22:40,oakland,ca,us,,60,1 minute,Woman repts.  bright light in NW sky&#44 suddenly approaches her&#44 flies slowly overhead.  Swept wings&#44 2 blurry lights either side.,11/2/1999,37.8044444,-122.2697222,Alameda County,California,United States of America
UFO069,10/10/1996 3:20,higginsville,mo,us,triangle,3,3sec,illuminated triangular craft&#44 flying at high speed from South to North,2/16/2000,39.0725,-93.7169444,Lafayette County,Missouri,United States of America
UFO070,10/10/1996 20:00,lake macquarie (nsw&#44 australia),,,light,300,5 min,RED LIGHT WITH OTHER RED FLASHING LIGHT&#44 ONE OBJECT,5/24/1999,-33.093373,151.588982,Lake Macquarie City Council,New South Wales,Australia
UFO071,10/10/1996 22:00,charleston,sc,us,light,300,5 min,Flashing object above Charleston&#44 SC,11/26/2003,32.7763889,-79.9311111,Charleston County,South Carolina,United States of America
UFO072,10/10/1996 22:30,monroe county,oh,us,cylinder,60,1 minute,Looked like it went through the hillside,7/8/2004,39.4402778,-84.3622222,Butler County,Ohio,United States of America
UFO073,10/10/1997 16:00,connersville,in,us,delta,14400,4 hours,3 differants types &#44 cluster &#44delta &#44 and one in a 3 pointed star design . followed it for six miles .,1/28/1999,39.6411111,-85.1411111,Fayette County,Indiana,United States of America
UFO074,10/10/1997 17:00,mesa,az,us,sphere,30,30 seconds,A small dark purple quad-thruster craft hovering 200-300 feet in the sky. 500 Lights On Object0: Yes,2/14/2008,33.4222222,-111.8219444,Maricopa County,Arizona,United States of America
UFO075,10/10/1997 20:00,bonaire,ga,us,triangle,300,<5 minutes,Triangular Object Sighted at Very Close Range,2/1/2007,32.5436111,-83.5961111,Houston County,Georgia,United States of America
UFO076,10/10/1997 21:00,austin,mn,us,other,3600,1-hour,i was traveling northbound on state highway 105 approximately 8 miles south of Austin MN when an object came down directly above my car,1/28/1999,43.6666667,-92.9744444,Mower County,Minnesota,United States of America
UFO077,10/10/1998 2:00,turin (italy),,,disk,15,15 sec,We were doing a patrol during the night&#44me and my friend were on guard duty in a military camp wich was a big field in the middle of a,1/19/2005,0,0,,,
UFO078,10/10/1998 2:30,hollywood,ca,us,changing,300,5 minutes,I was standing outside on Sunset Blvd. at Vine and looked straight up which I normally do not do. I saw three bright white lights in a,11/1/1998,34.0983333,-118.3258333,Los Angeles County,California,United States of America
UFO079,10/10/1998 3:30,phoenix (north part),az,us,fireball,15,10 to 15 sec,bright green moving north to north east. it was bright green and kinda clear. quite fast too.,2/16/1999,33.4483333,-112.0733333,Maricopa County,Arizona,United States of America
UFO080,10/10/1998 13:15,elgin,il,us,cylinder,1800,30 +/- min,While looking up at sky I noticed a bright light hovering above the sky. then I noticed a jet airliner traveling in the same area and I,11/1/1998,42.0372222,-88.2811111,Kane County,Illinois,United States of America
UFO081,10/10/1998 17:30,las vegas,nv,us,cigar,600,10 minutes,White&#44 vertical cigar shape floating around in the eastern sky.,11/1/1998,36.175,-115.1363889,Clark County,Nevada,United States of America
UFO082,10/10/1998 17:30,las vegas,nv,us,circle,2700,45min.,Ufo sighting in las vegas near Area51,8/30/1999,36.175,-115.1363889,Clark County,Nevada,United States of America
UFO083,10/10/1998 20:30,nyc/westchester area,ny,,triangle,60,< 1 min,Lights over NYC,10/30/2006,40.935998,-73.901708,Westchester County,New York,United States of America
